DATE,Hour,CZ1-PGE,CZ2-PGE,CZ3A-PGE,CZ3B-PGE,CZ4-PGE,CZ5-PGE,CZ6-SCE,CZ7-SDGE,CZ8-SCE,CZ9-SCE,CZ10-SDGE,CZ10-SCE,CZ11-PGE,CZ12-PGE,CZ13-PGE,CZ13-SCE,CZ14-SCE,CZ14-SDGE,CZ15-SCE,CZ15-SDGE,CZ16-SCE,CZ16-PGE
2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,4.43370511010625e-06,0,2.39861388690496e-06,1.03266293873358e-06,0,0,0,0,0,3.77348753445211e-06,0
2023-01-01,1,0,0,0,0,0,0,0,0,0,3.10779199433251e-05,0,4.35345705381473e-06,0,2.88710802026789e-06,7.58735053338878e-07,0,0,0,0,0,3.76820249584836e-06,0
2023-01-01,2,0,0,0,0,0,0,0,0,0,3.1605844064062e-05,0,0,0,2.82523256334099e-06,1.5746730508594e-06,0,0,0,0,0,3.7621267033626e-06,0
2023-01-01,3,0,0,0,0,0,0,0,0,0,3.20793656991613e-05,0,0,0,2.81589324906017e-06,2.68908309019145e-06,0,0,0,0,0,3.7514665402698e-06,0
2023-01-01,4,0,0,0,0,0,0,0,0,0,3.20956664439388e-05,0,0,0,2.8606199650967e-06,1.83240071160218e-06,0,0,0,0,0,3.74897416411008e-06,0
2023-01-01,5,0,0,0,0,0,0,0,0,0,3.16247449276383e-05,0,0,0,2.97604149051803e-06,1.72617153592247e-06,0,0,0,0,0,3.72326965817363e-06,0
2023-01-01,6,0,0,0,5.47084257922089e-06,0,0,0,0,0,3.08152079400714e-05,0,0,1.55084467050124e-06,3.09030310110363e-06,7.5024092479433e-07,0,0,0,0,0,4.2133168550725e-06,0
2023-01-01,7,0,0,0,1.11726912210785e-05,0,0,0,0,0,3.05299949087508e-05,0,6.34962745406619e-05,3.41000822181383e-06,2.82076289151709e-06,1.68934328555485e-06,0,4.65751110753297e-05,0,0,0,4.19825249314324e-06,0
2023-01-01,8,0,2.03912959806643e-06,0,1.05970509491751e-05,0,0,0,0,0,0,0,4.26317799048678e-05,5.02977487754266e-06,2.2006284235642e-06,2.21410079425942e-06,0,4.72560624934265e-05,0,0,0,3.68678487463067e-06,0
2023-01-01,9,0,0,0,0,0,0,0,0,0,0,0,6.49006155257634e-05,5.3280534691537e-06,2.84612102965002e-06,1.65488814430555e-05,0,4.724181958558e-05,0,0,0,3.67162041727331e-06,0
2023-01-01,10,0,0,0,0,0,0,0,0,0,0,0,4.36348806085117e-05,5.49519828358985e-06,2.95309317544899e-06,1.01032367104186e-05,0,4.83496570303994e-05,0,0,0,3.67759611433096e-06,0
2023-01-01,11,0,2.21905279789582e-06,0,0,0,0,0,0,0,0,0,2.14663550579805e-05,4.62785330060098e-06,2.89409750707977e-06,2.36908384461012e-06,0,8.58023862343952e-05,0,0,0,3.65072049188574e-06,0
2023-01-01,12,0,0,0,0,0,0,0,0,0,0,0,2.36731766059972e-05,3.10980957489755e-06,2.9491834625113e-06,2.32622769681964e-06,0,8.5974705358904e-05,0,0,0,3.67353223995005e-06,0
2023-01-01,13,0,0,0,2.14851650780872e-06,0,0,0,0,0,0,0,2.17672852690737e-05,1.98453716257177e-06,2.89060776330674e-06,1.84834159648125e-06,0,4.94116563844735e-05,0,0,0,3.57459791881462e-06,0
2023-01-01,14,3.03584453528786e-06,0,0,0,0,0,0,0,0,0,0,2.10651147765229e-05,2.21327375109624e-06,2.82011293923844e-06,2.60391150301719e-06,0,4.87051279135538e-05,0,0,0,3.67790641015808e-06,0
2023-01-01,15,1.97729348022038e-06,0,0,0,0,0,0,0,0,0,0,0,2.65196638719083e-06,2.81099360880578e-06,2.71138230540859e-06,0,4.78175540295151e-05,0,0,0,3.70682397933657e-06,0
2023-01-01,16,3.38536611007429e-06,2.89876266391797e-06,0,0,0,0,0,0,3.26893379223392e-05,0,0,0,3.07996871536198e-06,2.88051850408902e-06,2.36438769196673e-06,0,4.72870558633177e-05,0,0,0,3.76206664610574e-06,0
2023-01-01,17,5.43256390525196e-05,3.86834879633191e-06,0,0,0,0,0,0,3.2635492892022e-05,0,0,0,7.7322527196645e-06,2.92978488681023e-06,4.7119933970884e-06,0,4.6964985602085e-05,0,0,0,0.000232980116540272,0
2023-01-01,18,0.000146799061410301,6.47723519385808e-06,0,0,0,0,0.000160733355796096,0,3.59807905469549e-05,3.61515517564464e-05,0,0,1.9470660832555e-06,4.52966741885678e-06,8.70405357688999e-06,0,8.93138648315598e-05,0,0,0,0.000293659966963906,0
2023-01-01,19,0.000168768988968305,1.06954346565249e-06,0,0,0,0,0.000207736213635051,0,3.81436993762969e-05,3.7490512933288e-05,0,2.36731766059972e-05,2.0190681572019e-06,2.47981792467214e-06,4.90213250699339e-06,0,8.24969282901648e-05,0,0,0,0.000294076363944808,0
2023-01-01,20,0.00020272251337613,0,0,0,0,0,9.48636827690328e-05,0,3.83313563128114e-05,3.66765757446769e-05,0,1.96607737914214e-05,1.65114755962381e-06,2.3760155461398e-06,3.0439179755305e-06,0,7.83359931556343e-05,0,0,0,0.000240405195396834,0
2023-01-01,21,5.40260491312741e-05,1.23947093215803e-08,0,0,0,0,7.59971697529461e-05,0,3.74926549112157e-05,0,0,2.2870696043082e-05,1.37317955303848e-06,2.3014110238173e-06,2.92519242778478e-06,0,3.53096730839403e-05,0,0,0,0.000233247371333302,0
2023-01-01,22,0,0,0,0,0,0,0,0,3.67435284206495e-05,0,0,4.84497639860027e-06,4.37147591591153e-07,2.25664431071748e-06,2.61590721915107e-06,0,0,0,0,0,3.73678254096732e-06,0
2023-01-01,23,0,0,0,0,0,0,0,0,3.47234390304576e-05,0,0,4.77475934934519e-06,2.25653499719238e-07,2.14440255182858e-06,2.48193169171262e-06,0,0,0,0,0,3.73755327576371e-06,0
2023-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74863383965453e-06,0
2023-01-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72790407649473e-06,0
2023-01-02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73563144354416e-06,0
2023-01-02,3,0,0,0,0,0,0,0,0,0,3.02181806620265e-05,0,0,0,0,0,0,0,0,0,0,3.71799462911269e-06,0
2023-01-02,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71607279689314e-06,0
2023-01-02,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72022675715935e-06,0
2023-01-02,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87568496654365e-06,0
2023-01-02,7,0,0,0,0,0,0,0,0,5.96617948469994e-05,0,0,0,0,0,0,0,0,0,0,0,3.90316116155748e-06,0
2023-01-02,8,0,1.45937706528284e-05,0,0,0,0,0,0,0.000133577710340546,0,0,0,4.05302674330744e-06,0,0,0,0,0,0,0,3.62185297042129e-06,0
2023-01-02,9,4.7335207556791e-06,3.43853226340614e-06,0,0,0,0,0,0,0.000134852776671851,0,0,2.18675953394381e-05,2.97162559464874e-05,0,0,0,0,0,0,0,3.60033245337949e-06,0
2023-01-02,10,1.04856472435929e-05,1.8692021315609e-06,0,0,0,0,0,0,0.000162643017504916,0,0,2.20682154801668e-05,4.09756802627374e-05,0,0,0,0,0,0,0,3.61697832307275e-06,0
2023-01-02,11,9.38715086569272e-06,0,0,0,0,0,0,0,0.000163252527234716,0,0,2.14663550579805e-05,3.8501108985232e-05,0,0,0,0,0,0,0,3.58190488506602e-06,0
2023-01-02,12,6.79070488156495e-06,0,2.85603927739599e-06,5.52502167946025e-06,0,0,0,0,0.000108111413009277,0,0,2.14663550579805e-05,2.36301806432867e-05,0,0,0,0,0,0,0,3.61308461091961e-06,0
2023-01-02,13,3.87469631477529e-06,0,0,0,0,0,0,0,0.000135837600274679,0,0,2.17672852690737e-05,1.41004061478382e-05,0,0,0,0,0,0,0,3.46688522863469e-06,0
2023-01-02,14,5.5324272123338e-07,0,7.73343029689267e-06,7.55738654719352e-06,0,0,0,0,0.00012330712110048,0,0,4.28324000455966e-05,1.02002938090745e-05,0,0,0,0,0,0,0,3.60309508719509e-06,0
2023-01-02,15,5.93188044066115e-06,0,0,0,0,0,0,0,0.000114175484360433,0,0,2.12657349172517e-05,5.80965734126274e-06,0,0,0,0,0,0,0,3.64214231369744e-06,0
2023-01-02,16,1.2283186771066e-05,2.36075231349479e-06,1.1564947778188e-05,1.19833508223031e-05,0,0,0,0,0.000119979338092955,0,0,0,3.90486247558661e-05,0,0,0,0,0,0,0,3.71201893205504e-06,0
2023-01-02,17,5.60233152729108e-05,1.03940632968107e-05,0,0,0,0,0,0,9.50025501358152e-05,3.55967264065982e-05,0,0,8.13598434874289e-05,0,0,0,5.3283821577525e-06,0,0,0,3.70966668949465e-06,0
2023-01-02,18,0.000204719779517767,2.54229482212265e-05,1.72971392856377e-06,3.8296800026099e-06,0,0,0.000176845167946357,0,6.57809122328662e-05,3.90803855742192e-05,0,0,7.73022266119074e-05,0,0,0,4.94985180619034e-05,0,0,0,3.73592172028565e-06,0
2023-01-02,19,0.000148796327551938,2.72609636648169e-05,0,0,0,0,0.000208533947770023,0,6.4949717108731e-05,3.91773900063304e-05,0,0,5.36845463286808e-05,0,0,0,4.2788403329357e-05,0,0,0,3.74577111041083e-06,0
2023-01-02,20,9.98633070818375e-05,1.77395278871788e-05,2.9767169933423e-07,3.81453904193695e-06,0,0,9.61302871563142e-05,0,6.9408445920317e-05,3.86261648209729e-05,0,0,4.28077330331515e-05,0,0,0,7.8354348452366e-05,0,0,0,3.77215626525836e-06,0
2023-01-02,21,3.5651200628216e-05,3.62306349629783e-06,0,0,0,0,7.86351314947274e-05,0,6.61610301234701e-05,3.70052907635938e-05,0,0,2.62197552333454e-05,0,0,0,9.71130605035223e-05,0,0,0,3.73272867612922e-06,0
2023-01-02,22,1.27825033064752e-06,0,4.67626149291949e-08,0,0,0,0,0,0,0,0,0,2.25887506459563e-06,0,0,0,0,0,0,0,3.7327086570436e-06,0
2023-01-02,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73457043200628e-06,0
2023-01-03,0,2.31682872429863e-06,0,0,0,0,0,0,0,4.06027558723837e-05,0,0,0,0,0,4.64608705018257e-06,2.71108716824462e-05,0,0,0,0,0,0
2023-01-03,1,6.141593385533e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87507691469969e-06,0,0,0,0,0,0,0
2023-01-03,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58207274553631e-06,0,0,0,0,0,0,0
2023-01-03,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3657197281888e-09,0,0,0,0,0,0,0
2023-01-03,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-03,5,0,0,0,0,0,0,0,0,3.40502760677926e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-03,6,1.87743017313854e-06,0,0,0,0,0,0,0,3.76260664826151e-05,4.12651853972425e-05,0,0,0,0,2.60341084708506e-07,0,0,0,0,0,0,0
2023-01-03,7,3.73488768486072e-05,0,0,2.18744316774501e-06,0,0,0,0,3.89315582585596e-05,0,0,6.43990651739414e-05,0,6.13954921672861e-07,5.89772688051193e-06,0,4.48493119738753e-05,0,0,0,0,0
2023-01-03,8,0.000129822299206389,2.6688607974693e-06,0,2.08575347604995e-06,0,0,0,0,7.07538710923518e-05,7.02940117179307e-05,0,0.000108441204668133,0,6.42952792566205e-07,6.88902562613278e-06,0,4.59169282493536e-05,0,0,0,0,0
