DATE,Hour,CZ1-PGE,CZ2-PGE,CZ3A-PGE,CZ3B-PGE,CZ4-PGE,CZ5-PGE,CZ6-SCE,CZ7-SDGE,CZ8-SCE,CZ9-SCE,CZ10-SDGE,CZ10-SCE,CZ11-PGE,CZ12-PGE,CZ13-PGE,CZ13-SCE,CZ14-SCE,CZ14-SDGE,CZ15-SCE,CZ15-SDGE,CZ16-SCE,CZ16-PGE
2025-01-01,0,7.07178654138569e-07,0,0,0,0,0,0,0,3.42463396550059e-05,0,0,0,0,0,2.09178725437862e-06,0,0,0,0,0,0,0
2025-01-01,1,0,0,0,0,0,0,0,0,3.41099398661752e-05,0,0,0,0,0,1.52712553302444e-06,0,0,0,0,0,0,0
2025-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68583590266785e-06,0,0,0,0,0,0,0
2025-01-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2701434805185e-06,0,0,0,0,0,0,0
2025-01-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1993229951304e-06,0,0,0,0,0,0,0
2025-01-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.90707910253373e-07,0,0,0,0,0,0,0
2025-01-01,6,0,0,1.81859975734691e-07,0,0,0,0,0,0,4.09416389060282e-05,0,0,0,0,2.09880523010056e-06,0,0,0,0,0,0,0
2025-01-01,7,0,3.39790435594471e-07,2.88363607932907e-06,9.39361745938018e-06,0,0,0,0,0,0,0,0,0,0,3.1111257023918e-06,0,0,0,0,0,0,0
2025-01-01,8,3.10201073959231e-06,1.1071835532735e-05,2.0195500067775e-06,1.1051147750962e-05,0,0,0,0,0,0,0,0,3.79012299781639e-06,0,1.65135671809384e-06,0,0,0,0,0,0,0
2025-01-01,9,2.73296123038036e-06,4.70562003509449e-06,4.28024031287172e-07,7.03137306570458e-06,0,0,0,0,0,0,0,0,6.57569339569438e-06,0,1.26321560719526e-06,0,0,0,0,0,0,0
2025-01-01,10,6.90222325336938e-06,7.33044446686046e-08,0,2.6240877068389e-06,0,0,0,0,3.26180359487826e-05,0,0,0,4.50760628172492e-06,0,2.00426779109579e-06,0,0,0,0,0,0,0
2025-01-01,11,0,0,0,0,0,0,0,0,0,0,0,0,2.95748597691615e-06,0,2.37302687489352e-06,0,0,0,0,0,3.925287503758e-06,0
2025-01-01,12,0,0,0,0,0,0,0,0,0,3.12496701758497e-05,0,0,0,0,3.01945151739055e-06,0,0,0,0,0,3.50122021100915e-06,0
2025-01-01,13,0,0,0,0,0,0,0,0,0,3.51366998540941e-05,0,0,0,0,2.86034069264175e-06,3.07123258458651e-05,0,0,0,0,3.56363128430174e-06,0
2025-01-01,14,0,0,0,0,0,0,0,0,0,3.47316133892469e-05,0,0,0,4.07390261087611e-07,1.97198109822378e-06,2.48099176547204e-05,0,0,0,0,3.42777894802874e-06,0
2025-01-01,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15150006265426e-07,9.14629449331515e-07,0,0,0,0,0,3.80629545743393e-06,0
2025-01-01,16,0,0,0,0,0,0,0,0,3.39946245868269e-05,7.92792219818601e-05,0,0,4.0801324092588e-07,2.90119805273857e-06,2.12162115973012e-06,0,0,0,0,0,3.82528578401342e-06,0
2025-01-01,17,0,0,5.99836494550333e-05,2.74083745764019e-06,0,0,0,0,3.51259933847318e-05,7.78588187998121e-05,0,0,6.45020932346061e-06,5.35758299594147e-06,3.14477394262213e-06,0,0,0,0,0,0.000237076077032858,0
