DATE,Hour,CZ1-PGE,CZ2-PGE,CZ3A-PGE,CZ3B-PGE,CZ4-PGE,CZ5-PGE,CZ6-SCE,CZ7-SDGE,CZ8-SCE,CZ9-SCE,CZ10-SDGE,CZ10-SCE,CZ11-PGE,CZ12-PGE,CZ13-PGE,CZ13-SCE,CZ14-SCE,CZ14-SDGE,CZ15-SCE,CZ15-SDGE,CZ16-SCE,CZ16-PGE
2019-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34972042288303e-06,0,0,0,0,0,0,0
2019-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55553887413468e-07,0,0,0,0,0,0,0
2019-01-01,2,0,0,0,0,0,0,0,0,0,3.15718282143491e-05,0,0,0,0,9.37294445377058e-07,0,0,0,0,0,0,0
2019-01-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8609426870857e-07,0,0,0,0,0,0,0
2019-01-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21598687714239e-07,0,0,0,0,0,0,0
2019-01-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23812574058676e-06,0,0,0,0,0,0,0
2019-01-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92894357958694e-06,0,0,0,0,0,0,0
2019-01-01,7,0,8.17219845183509e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.13289601517422e-06,0,0,0,0,0,0,0
2019-01-01,8,3.12676829662577e-05,4.15776062906758e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.63053045628366e-07,0,0,0,0,0,0,0
2019-01-01,9,4.53531248136773e-05,5.36710927358003e-05,0,0,0,0,0,0,0,0,0,0,0,0,1.38490657641997e-07,0,0,0,0,0,0,0
2019-01-01,10,3.05684057114213e-05,5.14722770185049e-05,0,0,0,0,0,0,0,0,0,0,0,0,1.79235101966737e-07,0,0,0,0,0,0,0
2019-01-01,11,3.98588035256767e-06,3.87791135595726e-05,0,0,0,0,0,0,0,0,0,0,0,0,5.60724500085201e-07,0,0,0,0,0,0,0
2019-01-01,12,0,1.85545065380589e-05,0,0,0,0,0,0,0,0,0,0,0,0,1.16152356581796e-06,0,3.71449013551436e-05,0,0,0,0,0
2019-01-01,13,0,9.37597010011912e-06,0,0,0,0,0,0,0,0,0,0,0,0,9.74277956500753e-07,0,3.69354150600107e-05,0,0,0,0,0
2019-01-01,14,0,7.17273676215538e-06,0,0,0,0,0,0,0,0,0,0,0,0,6.33831394105834e-07,0,0,0,0,0,0,0
