DATE,Hour,CZ1-PGE,CZ2-PGE,CZ3A-PGE,CZ3B-PGE,CZ4-PGE,CZ5-PGE,CZ6-SCE,CZ7-SDGE,CZ8-SCE,CZ9-SCE,CZ10-SDGE,CZ10-SCE,CZ11-PGE,CZ12-PGE,CZ13-PGE,CZ13-SCE,CZ14-SCE,CZ14-SDGE,CZ15-SCE,CZ15-SDGE,CZ16-SCE,CZ16-PGE
2022-01-01,0,0,0,0,0,0,0,0,0,0,3.01418717203694e-05,0,0,0,0,1.34882165159578e-06,0,0,0,0,0,0,0
2022-01-01,1,0,0,0,0,0,0,0,0,0,3.12515108505645e-05,0,0,0,0,6.55117357743127e-07,0,0,0,0,0,0,0
2022-01-01,2,0,0,0,0,0,0,0,0,0,3.18819041745068e-05,0,0,0,0,9.36670306243558e-07,0,0,0,0,0,0,0
2022-01-01,3,0,0,0,0,0,0,0,0,0,3.23539052212117e-05,0,0,0,0,2.85903760133755e-07,0,0,0,0,0,0,0
2022-01-01,4,0,0,0,0,0,0,0,0,0,3.16686303626126e-05,0,0,0,0,8.21051589739249e-07,0,0,0,0,0,0,0
2022-01-01,5,0,0,0,0,0,0,0,0,0,3.10378400655444e-05,0,0,0,0,2.23663538516293e-06,0,0,0,0,0,0,0
2022-01-01,6,1.26104433356899e-06,0,0,0,0,0,0,0,0,2.98420577670272e-05,0,0,0,0,3.92632731801254e-06,0,0,0,0,0,0,0
2022-01-01,7,2.20182343956491e-06,0,0,0,0,0,0,0,0,3.09505059778446e-05,0,0,5.63458918224244e-07,0,1.13214162604843e-06,0,0,0,0,0,0,0
2022-01-01,8,1.74144217492861e-05,1.45881513758792e-05,0,0,0,0,0,0,0,6.83883467792818e-05,0,2.1404769368102e-05,0,0,2.62877880075243e-07,0,4.58888373715241e-05,0,0,0,0,0
2022-01-01,9,1.90157478871515e-05,3.43720826938523e-06,0,0,0,0,0,0,0,3.23412020811827e-05,0,2.17062449930049e-05,0,0,1.3839843748697e-07,0,4.64850864344168e-05,0,0,0,0,0
2022-01-01,10,9.37776619487417e-06,1.86848240225302e-06,0,0,0,0,0,0,0,3.2236004202817e-05,0,2.20077206179077e-05,0,0,1.79115750313917e-07,0,4.75580328493641e-05,0,0,0,0,0
2022-01-01,11,0,0,0,0,0,0,0,0,0,6.0588519558155e-05,0,2.1404769368102e-05,0,0,5.60351116773968e-07,0,4.82027868993141e-05,0,0,0,0,0
2022-01-01,12,0,0,0,0,0,0,0,0,0,3.10540167204251e-05,0,2.16057531180373e-05,0,0,1.16075011376617e-06,0,4.8283393734652e-05,0,0,0,0,0
2022-01-01,13,0,0,0,0,0,0,0,0,0,3.03966292239211e-05,0,2.16057531180373e-05,0,0,9.73629190253863e-07,0,4.83768815624035e-05,0,0,0,0,0
2022-01-01,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.334093293224e-07,0,8.38390587389267e-05,0,0,0,0,0
2022-01-01,15,0,0,0,0,0,0,0,0,0,0,0,2.12037856181668e-05,0,0,6.70433255364942e-07,0,8.37803898437931e-05,0,0,0,3.43788893986898e-06,0
2022-01-01,16,0,2.35984331462304e-06,0,0,0,0,0,0,3.27069821560997e-05,0,0,0,0,3.04716836646234e-07,6.62428082166554e-07,0,8.3859688453339e-05,0,0,0,3.4708887506935e-06,0
2022-01-01,17,0.00013311023521006,1.03900611015123e-05,1.33446177653327e-06,0,0,0,7.71190198212617e-05,0,3.26843616967998e-05,0,0,0,0,1.48968988512952e-05,2.65171362196581e-06,0,8.40555197911262e-05,0,0,0,0.000229538604969967,0
2022-01-01,18,0.000526435967823246,2.54131592098518e-05,7.93653582885576e-06,0,0,0,0.000470432516339471,0,3.54322470491031e-05,3.59974238140792e-05,0,0,0,2.4371809496975e-05,1.26081477874601e-06,0,3.94005406069655e-05,0,0,0,0.000287421921136992,0
2022-01-01,19,0.000574475751959207,2.72504669324522e-05,2.42811842045903e-06,0,0,0,0.000381154863908798,0,3.71897366280749e-05,3.77305092385131e-05,0,0,0,1.24043535497295e-05,4.0526189316836e-07,0,3.96141839420746e-05,0,0,0,0.000286231154516193,0
