DATE,Hour,CZ1-PGE,CZ2-PGE,CZ3A-PGE,CZ3B-PGE,CZ4-PGE,CZ5-PGE,CZ6-SCE,CZ7-SDGE,CZ8-SCE,CZ9-SCE,CZ10-SDGE,CZ10-SCE,CZ11-PGE,CZ12-PGE,CZ13-PGE,CZ13-SCE,CZ14-SCE,CZ14-SDGE,CZ15-SCE,CZ15-SDGE,CZ16-SCE,CZ16-PGE
2021-01-01,0,0,0,0,0,0,0,0,0,3.35694431196018e-05,0,0,0,0,0,2.78100837105917e-06,0,0,0,0,0,0,0
2021-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27867494555588e-06,0,0,0,0,0,0,0
2021-01-01,2,0,0,0,0,0,0,0,0,0,3.10641378911985e-05,0,0,0,0,3.06954968318874e-06,0,0,0,0,0,0,0
2021-01-01,3,0,0,0,0,0,0,0,0,0,3.16628507498128e-05,0,0,0,0,2.52345330823315e-06,0,0,0,0,0,0,0
2021-01-01,4,0,0,0,0,0,0,0,0,0,3.10900361612339e-05,0,0,0,1.20861843670738e-07,2.67432242455486e-06,0,0,0,0,0,0,0
2021-01-01,5,0,0,0,0,0,0,0,0,0,3.04578426493418e-05,0,0,0,5.33431997065816e-08,2.50971610439273e-06,0,0,0,0,0,0,0
2021-01-01,6,1.27558013341869e-08,0,1.81646144104659e-07,0,0,0,0,0,0,0,0,0,0,1.14165359841553e-06,1.93678565755076e-06,0,0,0,0,0,0,0
2021-01-01,7,7.25172327817553e-06,4.55174663615089e-06,2.88024548939432e-06,9.38835044538757e-06,0,0,0,0,0,0,0,0,0,3.13904677426319e-06,1.37709215220979e-06,0,0,0,0,0,0,0
2021-01-01,8,0.00029730056652908,2.28100159049521e-05,2.01717541243296e-06,1.10449513574969e-05,0,0,0,0,0,0,0,0,0,7.69007192582778e-06,0,0,0,0,0,0,0,0
2021-01-01,9,0.000445886568590046,2.69582184844929e-05,4.27520759052955e-07,7.02743056533297e-06,0,0,0,0,0,0,0,0,0,6.24161816715454e-06,5.73807906985314e-06,0,0,0,0,0,0,0
2021-01-01,10,0.000261142389518786,1.7386043098881e-05,0,2.62261637731867e-06,0,0,0,0,3.24140564472094e-05,0,0,0,0,6.35835446001605e-06,1.25008554947832e-06,0,4.51067269485275e-05,0,0,0,3.37199985351806e-06,0
2021-01-01,11,0.000163716190352162,5.28821853811718e-06,0,0,0,0,0,0,0,0,0,0,0,1.90957449643502e-06,0,0,4.53030724331407e-05,0,0,0,3.49149855946363e-06,0
2021-01-01,12,9.25046695180009e-05,0,0,0,0,0,0,0,0,0,0,0,0,1.18228467553988e-06,0,0,4.52575838841683e-05,0,0,0,3.7174628548385e-06,0
2021-01-01,13,8.21594133178336e-05,0,0,0,0,0,0,0,0,0,0,0,0,1.21670374113779e-06,0,0,4.51672106165196e-05,0,0,0,3.56525574930894e-06,0
2021-01-01,14,9.54174115549412e-05,0,0,0,0,0,0,0,0,0,0,0,0,1.96534264150765e-06,0,0,0,0,0,0,3.55399119756281e-06,0
2021-01-01,15,7.92466712808933e-05,0,0,0,0,0,0,0,0,0,0,0,0,5.49081529049905e-06,0,0,0,0,0,0,3.63735490968226e-06,0
2021-01-01,16,0.000327432380704325,0,0,0,0,0,0,0,0,0,0,0,0,7.26132470394116e-06,0,0,0,0,0,0,3.70671078492917e-06,0
2021-01-01,17,0.00122536044312661,2.61154024070852e-05,5.99131204588296e-05,2.73930066637705e-06,0,0,0,0,3.50746870597327e-05,0,0,0,1.34924766003389e-08,1.08737116840467e-05,2.32121725489999e-06,0,0,0,0,0,0.000235171885709379,0
