2019,2020,2021,2022,2023,2024,2025
44.54405,46.34429,49.34744,71.89758,140.24529,180.37112,74.83181
40.02177,37.66462,36.78021,55.87071,133.22526,181.18459,55.61592
39.55468,31.72,30.43831,50.57733,128.64308,171.37166,47.02554
37.62863,27.44034,26.88472,46.7304,128.9644,167.72599,41.9585
34.45533,27.37,24.66483,42.82497,127.13496,159.62129,40.33067
33.89533,24.36458,22.34051,40.15725,125.40057,149.2356,36.38502
37.02576,24.62001,23.95944,40.31579,122.5919,147.23333,33.10759
37.66129,27.15648,27.05612,42.55816,122.79808,156.07465,38
40.57714,31.58854,35.23095,49.82786,137.05374,182.51038,45.41125
50.18092,36.49543,45.76147,62.72991,157.84537,202.70396,66.3487
67.24492,58.27762,61.40262,76.09993,169.28,208.86304,72.43218
61.71761,52.48852,51.87619,71.134,167.17812,202.70521,70.92254
58.92413,49.68925,47.09136,64.07167,159.51173,203.37536,69.43715
50.77485,46.17396,42.50713,60.41565,154.04732,203.16843,69.04804
41.37747,39.22643,39.76309,56.02931,139.22602,200.89183,67.18505
38.88967,34.45891,35.35747,53.61848,137.7475,196.80903,66.49053
36.7652,33.79251,32.36358,52.15431,131.4319,187.36794,64.18767
39.34932,30.50391,29.32262,47.36793,129.32953,209.0158,59.51873
38.82349,29.95477,29.48952,46.55314,127.88092,194.97233,56.29372
37.37063,29.92044,28.36942,45.28,124.73346,194.33036,55.87407
38.07696,30.92003,29.07784,46.29878,123.74028,193.10012,55.76501
39.00386,34.03758,30.07438,48.34,124.77574,194.86106,57.81307
40.98267,40.77867,33.74015,51.65072,127.07419,214.5328,61.6617
52.10521,57.18724,44.68798,60.50019,131.98081,228.05001,71.00694
59.55346,59.12737,43.14403,61.34126,134.00777,215.96156,70.83652
45.86365,39.28277,32.54566,53.89308,123.45192,210.00537,51.60862
48.60646,33.54949,28.88484,49.31097,112.34471,178.24215,43.63889
44.95684,30.23515,25.99959,45.46275,108.57774,183.35005,39.86603
44.0273,27.89606,25.56927,44.27823,106.98573,180.99174,37.68897
40.58847,27.67585,26.08822,42.24316,105.59793,175.21062,34.46196
40.61607,27.65698,24.70831,41.8164,106.49864,167.94928,33.19679
41.93042,30.71695,26.48956,43.61575,114.12435,177.49298,34.02562
43.28714,37.56568,34.09498,52.25012,131.34667,206.83874,43.53978
52.94589,48.31015,44.89495,60.66731,153.21526,251.78071,62.37285
69.41848,64.26856,51.91095,74.07078,171.58239,254.20507,71.64001
72.92514,58.57155,48.40192,74.2,169.01918,251.68541,70.26744
66.93128,57.40145,42.60656,64.76266,163.19728,263.40258,65.1038
54.42702,48.73195,40.27964,58.02875,160.25227,260.04311,65.0128
47.16936,44.24036,37.35208,56.78223,146.50563,254.68754,66.69628
43.50867,37.97298,35.10085,54.77571,135.33743,236.32599,61.55224
