2019,2020,2021,2022,2023,2024,2025
58.12919,40.17392,50.6221,85,254.05235,65.29887,48.13369
55.70363,38.73712,46.59583,82.47097,245.02077,64.78506,48.04682
50.79712,38.30219,39.94466,72.72777,229.3664,64.21555,47.88231
45.87928,34.87352,34.90633,63.34903,214.94267,63.92802,47.24589
41.72821,33.8254,32.84837,60.28876,211.4105,62.71255,45.81445
39.45811,34.66426,29.51113,53.47765,157.51236,68.62357,44.83874
39.11839,32.1,28.51592,50.70034,151.26064,61.09989,44.3361
37.98062,32.01164,27.42063,49.45706,149.9223,60.97041,43.45049
38.09663,30.94754,27.63388,49.14162,153.02566,60.21789,42.80285
37.96153,31.02,28.67016,49.4739,157.04355,61.47711,43.92557
39.98578,31.77504,32.51979,57.7343,169.74167,68.5713,43.97163
41.15417,34.80166,42.67434,80.0628,196.51611,77.73435,45.03743
41.63673,33.02809,53.06539,82.47079,200.50062,72.71382,43.0215
41.73419,30.70605,34.58089,60.74783,196.53801,61.13563,27.77518
42.0082,24.48742,29.10903,55.85611,184.30626,57.10071,29.44643
40.70519,17.97358,26.00074,53.42374,185.85472,53.53654,27.89038
38.68876,16.84278,24.89749,46.27223,180.81313,51.78443,25.20957
37.46189,16.3376,23.56961,47.79479,175.56559,51.74685,21.71541
39.05054,15.16034,23.98986,48.02078,172.41001,51.10893,19.08916
40.11351,17.50577,27.48369,52.60833,169.19192,52.15311,28.00986
40.1258,27.86442,39.73159,60.69336,190.46658,58.96804,32.22589
43.77344,35.59735,46.36022,85.36024,206.74157,76.68528,47.70353
54.78013,38.66264,68.30488,97.82282,214.20368,77.70385,49.58809
55.97959,38.59004,62.38095,91.25072,207.93389,77.56231,46.81516
50.80369,38.59833,53.74528,85,205.37314,77.3185,50.33381
47.67647,37.54531,45.67893,80.47992,200.06738,77.44796,50.04816
42.81169,37.22878,39.8294,73.74,186.75387,76.69431,49.6956
40.81092,34.93804,34.47595,63.81843,162.75462,75.77228,48.86439
37.99884,30.55303,33.74777,56.65042,161.79143,75.66053,47.40121
36.01759,31.06993,30.1729,49.34414,141.82,70.64219,45.30833
35.88702,29.7,29.49448,48.13957,140.46536,70.16886,45.19501
33.86173,28.34811,29.16329,47.63822,140.05014,69.70104,44.69816
34.3341,28.62269,29.57638,47.84567,140.50908,69.13455,43.48876
36.00141,30.55357,31.07277,49.31893,145.70633,67.82985,46.31569
36.45,36.7401,36.6843,57.9758,171.71877,70.90309,49.67311
38.19563,48.47261,43.57159,74.79469,187.9137,71.20576,51.77435
36.50922,45.86,51.63452,77.8774,183.42079,69.68601,54.78438
35.99264,41.34367,35.78682,58.38619,158.81645,68.07134,42.02487
34.4877,30.59671,31.61075,53.57974,134.77181,64.15084,38.69524
31.02,29.47802,29.37643,52.95825,126.52976,65.56527,35.80868
26.1321,29.19961,27.09339,48.03542,121.0898,61.64467,34.56688
24.50439,23.72345,25.57569,45.65868,117.18868,58.42371,32.99243
27.4,23.5763,25.72843,44.91981,115.79961,58.38473,31.81324
30.99456,26.17133,29.2266,45,120.92028,65.87002,32.97384
36.1607,36.45466,34.07572,55,149.1165,69.00689,37.69592
40.91723,51.53,46.68473,72.09896,191.73669,70.48951,48.87983
49.75285,71.89948,62.22334,87.34868,209.16363,71.21104,50.98251
52.20797,51.53105,54.12597,78.29164,201.31001,71.41872,50.97801
46.62205,51.12454,48.101,73.21231,193.51724,70.17341,50.66244
44.39934,46.84045,42.02257,68.15633,191.82916,69.62723,50.58594
40.65782,41.44472,38.98558,62.93223,181.03918,70.45644,49.97415
36.19631,38.60095,35.32168,59.09569,173.4491,70.27687,48.16453
35.04002,35.62076,32.93751,54.78706,156.94047,68.74331,47.08138
35.83341,31.48549,29.80821,50.90624,155.13957,73.49151,50
34.37757,30.21546,29.19379,49.32528,156.49657,68.41406,51.01871
33.31787,29.57813,28.23039,46.89935,147.8988,65.19254,49.85365
34.4573,29.86692,28.83676,46.27998,149.41352,64.26583,49.71776
36.39436,31.67682,31.04319,46.2666,158.0552,65.79172,51.31106
40.75498,36.54107,36.64701,54.47049,161.01953,72.58925,57.27787
50.81618,42.074,46.93548,65.01794,163.34301,74.58232,59.8723
58.99651,42.43065,48.53051,65.11039,159.86673,73.87965,60.00001
46.90907,36.68,36.04787,56.32766,147.49029,66.43892,44.63162
46.32583,30.96293,32.17387,51.40471,136.30513,54.30363,44.33816
42.27403,27.0971,30.07759,48.80239,134.40582,54.34438,37.47957
39.8827,27.00435,28.0233,43.81242,133.64806,51.67298,34.75706
36.44233,25.50387,25.97726,43.68507,133.92098,50.89993,32.65784
36.95143,26.33876,26.36315,43.38715,131.71614,51.61316,31.35651
36.15221,28.41985,29.37087,43.42748,135.74216,49.98806,32.17
41.75106,33.94812,33.4316,51.05073,146.73399,62.29525,35.05493
57.24977,37.82653,44.72808,62.19511,171.26579,76.94053,53.87592
88.22667,43.37504,60.47197,74.02821,179.42528,79.46464,55.84429
72.26275,44.46459,55.01355,69.20807,174.75829,79.43216,56.34737
66.61353,41.69137,48.41601,63.87968,172.90823,79.6359,55.36884
56.65765,39.7467,43.14059,61.61241,171.5334,78.77057,55.48706
47.70417,37.25246,39.44583,58.32338,166.28883,79.56428,54.85864
44.95784,34.55128,36.62175,54.63692,157.84303,78.93017,54.13581
40.24845,31.66033,33.47834,54.1673,149.46127,76.07561,53.07293
36.22399,30.83894,32.50085,45.60326,143.19976,75.24297,45.80455
35.55406,29.54738,31.34287,44.05772,138.40419,75.25477,44.86781
34.04627,28.85956,30.85158,44.24632,142.38522,74.49601,44.2709
34.48276,29.05357,31.09796,43.96361,138.46182,74.2056,44.24829
36.71426,31.00163,31.7712,43.96929,138.04565,76.02164,45.52062
41.5344,36.24469,37.53305,46.91002,137.78336,94.71507,50.57853
52.73028,39.84638,46.65458,60.7833,140.0805,111.25303,55.30814
69.6731,40.2044,47.37452,62.7113,143.43307,109.87314,56.60592
51.46613,36.11487,35.67964,50.89281,135.59426,98.36492,46.16641
46.48153,34.02538,31.7559,43.90616,126.09747,97.22279,39.21394
42.74771,29.03148,27.23676,40.32999,112.36059,88.64655,36.10645
40.49544,28.21197,24.85036,33.01986,110.74401,86.63153,34.2295
34.75633,25.16479,22.34729,28.97052,106.08238,79.1851,33.52138
37.5744,26.27502,20.47748,25.96203,104.65891,82.33738,30.56826
40.29355,28.59783,22.79929,27.95108,111.21324,84.2106,33.22854
43.747,33.92105,28.99182,42.7967,136.35968,89.99266,41.31891
63.04788,38.88994,40.23074,62.86791,166.93812,107.46899,53
80.1233,42.94156,49.55437,77.07718,179.87488,116.4159,57.45181
65.55724,44.38716,45.02019,78.28776,172.75899,115.92175,57.34186
64.34712,42.30001,40.7865,68.33808,169.3509,112.56781,56.40962
54.19001,39.82589,38.50445,62.50272,167.35356,110.57689,54.46872
49.68186,38.23208,36.83436,60.15614,158.77277,107.94419,53.86907
42.15507,35.30575,33.80985,55,146.92666,100.4784,51.88253
38.43731,31.59869,32.49118,48.45966,140.74208,95.98517,47.94296
37.62678,31.78826,32.96313,47.11359,140.66458,78.40538,48.87773
37.22079,30.73517,31.69072,48.03312,138.58385,72.74828,47.60091
35.35658,30.1434,30.35042,47.05852,135.39092,72.65997,47.03603
36.04,30.45375,30.47005,47.94326,135.15706,72.65986,47.19192
38.10418,32.61591,31.74507,48.22277,136.06,74.49754,48.39593
42.37709,37.5219,36.33348,52.06403,149.83999,82.88645,52.02426
50.83625,43.54983,41.16763,59.57838,161.94787,94.99045,60.35969
53.63929,43.18472,39.84158,55.28539,178.4137,89.91687,60.44276
39.26678,39.19126,32.06479,45.74001,170.15803,69.90851,44.28149
36.46116,36.45658,28.68539,41.8928,151.85335,59.61993,37.05027
34.71693,30.4765,23.47672,42.00502,156.31577,58.20643,35.32306
33.24382,27.57227,20.18139,35.91321,149.37872,57.71944,34
