2019,2020,2021,2022,2023,2024,2025
61.52488,39.57056,50.953,82.15499,253.82349,65.44699,45.52665
56.96397,38.04504,46.99934,80.30046,247.76133,65.27455,45.20742
51.95676,37.76535,39.99673,71.55254,232.16412,64.77161,45.28128
47.26757,34.33322,34.72859,62.3872,216.2808,64.23344,45.31799
42.59032,32.99998,32.47881,59.67057,214.11788,63.12234,44.4688
40.41084,33.78764,28.62067,52.98751,161.27404,69.08228,43.49936
39.88604,31.16081,27.74917,50.35134,154.99622,61.52297,43.11459
38.79592,31.01344,26.66727,49.32353,153.24111,61.47018,42.51519
38.58407,30.03902,26.83168,48.5257,156.35029,60.85,41.73827
38.65586,29.80716,27.71627,49.03014,160.18379,62.34639,43.08103
40.5543,30.56335,31.56054,57,174.66721,70.5255,43.12824
42.18981,33.23491,41.6038,79.03656,202.6828,80.69489,44.13686
42.1948,31.17128,50.94,79.31405,205.41266,73.41748,40.9232
42.26375,28.10026,32.96324,57.86268,199.06991,58.81018,20.79904
42.03761,22.22887,27.31279,48.51518,186.92488,43.95316,7.15597
40.40133,16.26149,24.53498,43,187.17893,34.68042,5.40859
38.46508,15.28,23.39416,38.90003,182.77651,28.23695,5.08404
37.31982,14.82227,22.22382,37.57398,177.56045,26.49868,3.42094
38.73954,13.80248,22.83237,38.33059,173.9854,24.43351,0.95002
39.97738,15.83966,26.09803,42.86267,170.99347,33.62415,5.08271
40.29482,25.93014,38.47132,58.22905,194.64694,56.14737,20.42353
43.93159,34.25109,46.82402,81.40915,212.72708,76.9411,45.32226
56.1836,38.00448,67.85519,92.86796,221.46519,77.88585,46.88779
58.04124,37.72572,61.6553,86.28596,213.7784,78.0559,46.77817
52.62201,37.75288,53.45572,80.50418,210.74265,78.02972,46.95964
48.94668,36.67375,45.37385,77.39999,206.67933,77.87111,46.78404
43.48664,36.4501,39.25629,72.05118,192.53778,77.58463,46.61856
41.70045,34.14297,34.47089,63.52548,166.35786,77.00891,46.44389
38.95972,29.91153,33.29489,56.57116,166.48722,76.67755,45.52523
36.18381,30.47551,29.37817,48.32346,142.14645,70.44023,44.84159
35.7795,28.98112,28.56625,47.02647,141.25418,69.88861,44.60906
33.81097,27.67288,28.29339,46.89107,140.48495,69.15602,44.01263
34.09122,27.92395,28.70855,47.02001,141.39722,68.11466,43.00199
35.68249,29.9299,30.02013,48.50682,147.54031,66.62662,45.40624
36.28269,36.45407,35.69,57.19818,175.10521,70.03756,48.67085
38.29898,50.32665,42.81581,73.98373,192.46537,70.35057,50.32766
36.34882,57.85001,49.93418,75.49473,184.11898,66.3549,50.62877
34.88114,40.54442,33.84754,55.94061,154.99558,44.67125,40.52714
32.72409,30.60333,28.77898,48.9129,133.65866,33.69974,25.41213
29.20449,29.64067,26.53799,40.00001,124.1155,23.84149,23.35348
24.65412,28.16216,25.03185,35.70839,118.07239,22.97104,22.72183
23.04956,23.82761,23.66866,35.21303,113.96351,10.56865,20.54141
25.73272,23.57997,24,35.17994,111.98691,8.62158,16.06929
29.30373,25.16494,26.97707,38.50981,118.0364,19.29939,15.71751
34.63308,39.35694,32.24008,53.12316,146.6802,42.57365,29.16178
39.9951,59.00626,45.61417,71.81103,194.57824,69.33799,45.82816
50.01784,76.20263,61.29685,85.57769,214.55182,70.37184,47.76731
52.71827,68.96,53.0653,76.42222,205.77315,70.16426,47.13168
47.03521,62.40847,46.98867,72.07245,198.46161,69.68394,46.6393
44.35044,56.24607,41.07138,67.10891,197.48324,69.26832,46.75262
40.37795,46.99,37.93296,62.25016,186.48618,69.81674,47.10888
35.94366,39.415,34.56688,58.64233,178.36302,69.38968,46.6838
34.7851,35.92564,31.98374,54.4264,161.48462,68.33898,45.85438
35.81907,31.14653,28.95612,50.57103,157.27171,70.12756,51.05957
34.15483,29.49818,28.21054,48.7414,158.47753,65.39353,51.55274
33.00286,28.7549,27.2897,46.38587,150.10269,62.29544,50.2017
34.11098,29.13456,27.80915,45.66807,149.37951,61.67518,50.03779
35.86706,31.01152,30.0856,45.53192,160.90692,63.30132,51.47624
40.3493,40.59457,35.25117,53.29033,160,69.70437,57.64904
50.93851,50.24185,45.30017,64.99999,163.41137,71.47701,61.28571
59.02016,53.60607,46.3433,62.07449,160.92396,63.05486,60.08131
46.56312,47.0794,34.09008,51.6044,148.06614,49.65493,46.20375
45.40958,38.61141,29.94954,46.54521,134.64172,27.00218,34.32176
41.30207,38.1127,27.66931,39.73975,131.57972,21.78149,30.7096
39.35657,38.22059,25.80791,33.39032,130.43429,18.90618,28.7451
35.8179,32.57952,24.1385,33.23162,130.53207,13.10306,25.03259
35.23166,31.13687,24.59495,31.3557,128.60105,12.97356,18.25364
34.94339,35.22558,27.69619,38.94352,134.46107,18.91591,18.34902
40.7046,40.55745,31.96401,48.24581,147.17468,49.39154,32.03225
56.94683,54.08727,43.44674,60.37146,173.76816,74.11656,52.85024
89.5814,61.82706,58.63336,71.26856,181.88341,77.73273,55.09554
73.99826,56.50267,53.03298,66.8189,177.38319,78.15354,54.5233
67.9774,54.81325,46.51995,61.78876,174.78616,78.17858,53.84736
57.41881,51.62146,41.2662,59.75456,174.21307,77.68172,53.63061
47.50385,45.9296,37.38545,56.91657,165.85119,77.55765,53.44936
44.60384,36.95,35.11925,53.99631,161.25775,76.55107,53.41088
40.11171,30.80963,32.07537,52.56878,151.62956,75.251,52.83351
