Month,Contracted Capacity (MW),Percentage of Total Capacity in Data Set,Weighted Average Price ($/kW-month),Average Price ($/kW-month),85th Percentile ($/kW-month)
Jan,-,8,$5.35 ,-,$7.50 
Feb,-,8,$5.23 ,-,$7.50 
Mar,-,8,$5.07 ,-,$7.50 
Apr,-,9,$5.08 ,-,$7.49 
May,-,9,$5.31 ,-,$7.50 
Jun,-,8,$5.81 ,-,$7.75 
Jul,-,8,$7.31 ,-,$14.00 
Aug,-,9,$8.07 ,-,$15.00 
Sep,-,9,$8.62 ,-,$16.00 
Oct,-,9,$6.59 ,-,$8.75 
Nov,-,8,$5.59 ,-,$7.50 
Dec,-,8,$5.78 ,-,$7.50 
Annual Total,-,-,CALC,-,CALC
